0	3694.437187
1	3443.507559
2	3279.393207
3	3095.895686
4	2911.602125
5	2710.000017
6	2567.102614
7	2375.729149
8	2184.274284
9	2151.993626
10	2054.304102
11	2005.043988
12	1840.145450
13	1724.899809
14	1529.947098
15	1449.039353
16	1378.589370
17	1315.651428
18	1277.020569
19	1227.506935
20	1166.721789
21	1121.379996
22	1060.167177
23	1019.856221
24	995.742354
25	954.068747
26	916.249014
27	859.846620
28	816.836131
29	779.936291
30	743.618549
31	714.314192
32	673.872620
33	652.867157
34	609.034281
35	589.781499
36	545.034300
37	511.669471
38	494.746406
39	470.549987
40	452.731533
41	443.450691
42	439.032222
43	426.360200
44	413.049924
45	389.332618
46	363.794516
47	332.021502
48	320.243874
49	304.581453
50	290.461568
51	263.765544
52	260.553893
53	244.362892
54	244.007323
55	226.138589
56	222.044884
57	192.462369
58	177.938250
59	162.928813
60	152.408041
61	135.381496
62	124.894988
63	107.642489
64	92.691755
65	88.166949
66	80.779292
67	84.829341
68	87.987396
69	92.198736
70	83.381001
71	79.046578
72	82.358406
73	80.801479
74	68.519940
75	69.349050
76	57.337581
77	50.128138
78	48.972956
79	37.781622
80	37.525250
81	31.077649
82	31.837652
83	30.390194
84	35.364676
85	36.378417
86	28.923801
87	34.058727
88	30.474694
89	25.095706
90	28.797398
91	31.013617
92	24.362160
93	25.574390
94	29.284759
95	30.352898
96	36.700679
97	34.330434
98	34.218764
99	36.818168
100	36.226522
101	36.067146
102	38.218742
103	46.949899
104	47.161613
105	48.308169
106	43.621889
107	31.822494
108	37.021641
109	33.722976
110	31.006823
111	25.246224
112	22.221193
113	24.967487
114	30.417699
115	29.337149
116	30.958257
117	34.730799
118	36.186434
119	24.464537
120	22.105140
121	27.768298
122	24.553604
123	27.977259
124	30.565980
125	37.668161
126	33.129659
127	34.139448
128	31.521491
129	35.724324
130	32.194518
131	33.460632
132	33.804117
133	25.609697
134	26.958929
135	24.153261
136	25.476774
137	28.803912
138	28.401822
139	29.836312
140	28.260909
141	27.339087
142	31.426660
143	28.543372
144	26.877612
145	27.800329
146	28.156418
147	28.635901
148	23.464415
149	27.883267
150	28.521198
151	30.747015
152	24.108726
153	31.734023
154	31.619816
155	30.229128
156	20.472934
157	24.892365
158	24.619789
159	25.846959
160	32.616220
161	41.020062
162	27.922290
163	32.108683
164	33.328549
165	31.226135
166	35.134820
167	32.937032
168	26.439886
169	27.612693
170	26.992848
171	26.951665
172	27.335621
173	33.058506
174	36.566844
175	38.690460
176	35.387509
177	34.296836
178	27.528747
179	30.971622
180	34.939844
181	34.521032
182	30.420091
183	24.074680
184	25.480739
185	27.224391
186	22.924262
187	18.226291
188	18.272134
189	22.722437
190	24.410476
191	27.663613
192	22.917345
193	32.072160
194	27.652867
195	30.408478
196	33.741317
197	35.246881
198	25.592533
199	30.534530
200	30.357727
201	35.127797
202	34.738491
203	35.207208
204	29.872729
205	22.092873
206	23.688391
207	32.197580
208	38.464200
209	37.973753
210	37.609708
211	32.573258
212	33.936973
213	31.063069
